,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.05893354415893555,0.004427865200384503,0.0009790897369384766,0.00023172983870801657,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5,9.288792252416251e-17
1,0.07744898796081542,0.02961279927053399,0.0010239124298095704,0.0002755746106754706,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.5,0.4999999999999996,0.4999999999999998,0.8319597069597071,0.6469780219780219,0.5949792120678196,0.13082988793338055,78,0.5000000000000001,0.5,0.5,0.8046251993620416,0.5911749069643808,0.5791600212652845,0.11813367928979915
2,0.06731891632080078,0.013375597253106702,0.0008663177490234375,0.00011509861307191088,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.5000000000000001,0.5029411764705882,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5005882352941177,0.0011764705882352621
3,0.064674711227417,0.0012451244390121068,0.0008265495300292969,4.151480238949925e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.7720491443615621,0.8512969588550984,0.5252683363148478,0.8182234432234434,0.7568681318681321,0.7446182045537192,0.11480681610671199,4,0.7649321266968326,0.8183084717140443,0.5634112018012946,0.7496012759170656,0.7809675704412549,0.7354441293140983,0.08899907625547675
4,0.0980994701385498,0.013803700309724986,0.0010705947875976562,0.00029880416023267913,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.5021939447125933,0.6478085867620748,0.49999999999999994,0.6662087912087913,0.49999999999999994,0.5630296641528111,0.07671621497107674,109,0.5029411764705882,0.5876583169152828,0.5069800168871376,0.6201488569909623,0.5146198830409358,0.5464696500609812,0.0481532939924385
5,0.055991840362548825,0.0008940769118969534,0.0008183479309082031,1.1956733340326971e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.49759615384615385,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.49951923076923077,0.0009615384615384692
6,0.06959924697875977,0.008883699158110596,0.0010163307189941407,0.00026779793768845375,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.6077226853883282,0.5337656529516992,0.48076923076923067,0.5686813186813188,0.526098901098901,0.5435264396837732,0.042764842902093314,130,0.645079185520362,0.5167745567126371,0.5251759076836475,0.6281233386496544,0.5151515151515152,0.5660609007435633,0.05794502124379399
7,0.08252420425415039,0.016548834742752445,0.00092620849609375,0.00014722793394734523,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.5,0.49999999999999983,0.5465116279069766,0.5141941391941393,0.49999999999999994,0.5121368222266073,0.018061874989816432,145,0.4885180995475113,0.5040388404165493,0.5725865465803546,0.5396065922381712,0.5093035619351409,0.5228107281435455,0.02990165492270044
8,0.059279870986938474,0.001594555680214425,0.0009065628051757813,0.00019527658257065839,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5,9.288792252416251e-17
9,0.11349148750305176,0.07083231514878686,0.0012029170989990234,0.00013854894015487794,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.5673541026766126,0.8112701252236136,0.8016547406082293,0.6442307692307693,0.49999999999999994,0.6650876548917135,0.12428382989069454,22,0.5882918552036199,0.8062623135378553,0.7330424992963692,0.6632110579479,0.5058479532163743,0.6593311358404238,0.10549014799444606
10,0.1044992446899414,0.038175872637547036,0.001116180419921875,0.0003390327150443311,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.5276437033786748,0.5348837209302324,0.49999999999999994,0.7239010989010989,0.5119047619047619,0.5593533753765312,0.08273856409944338,115,0.5952205882352941,0.5509006473402758,0.5190965381367857,0.6547049441786285,0.5279106858054227,0.5695666807392813,0.05007499352447357
