,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.181166410446167,0.524300598889848,0.012074756622314452,0.0014522928619323664,100,adaptive,2,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 2}",0.44681731943758096,0.4268132694113425,0.42542649553088,0.09999999999999999,0.4242473126097996,0.36481677952366753,0.13250041512530114,95,0.4362569890104949,0.4204250830834959,0.4472604790059037,0.1,0.4437304613658984,0.3695346024931586,0.13508290578157353
1,2.6403600215911864,0.635171234124876,0.017774200439453124,0.00592358089760323,100,adaptive,3,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 3}",0.530549705924749,0.35075577557755777,0.5171503713801644,0.5314129791471848,0.5089900437953605,0.48775232989392686,0.06905646049346986,90,0.5194782940520857,0.3512371488190538,0.5442984396103091,0.5227360245845999,0.5218010136905258,0.4919101841513148,0.0709043397713989
2,2.683042812347412,0.3718134466554901,0.017320823669433594,0.0026532708159859204,100,adaptive,4,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 4}",0.5685299891252561,0.5386376156430187,0.5511635533333227,0.5959745398615827,0.5488014451132409,0.560620231207344,0.020112337270681752,85,0.5689656458608588,0.5235303036636719,0.5776290843920422,0.5890155942753459,0.5655334332212073,0.5649348122826252,0.022234963036215572
3,2.4611056327819822,0.3443282743446059,0.018613052368164063,0.006609740086693544,100,adaptive,5,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 5}",0.5990702528467368,0.6064922760208146,0.508597202144484,0.5839159593142825,0.5471661326353175,0.5690984354272424,0.03649984082495792,83,0.6199361055656535,0.5999097843595969,0.5211092957875326,0.5696743726703941,0.5419946623835684,0.570524844153349,0.036225787663304795
4,2.2704304218292237,0.06560545540907725,0.013191032409667968,0.002300936909820753,100,adaptive,6,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 6}",0.6016216639650366,0.6407473910236103,0.6009919007159835,0.6144695461482479,0.6118673941538328,0.6139339561486762,0.01445057929678603,80,0.6171288711848888,0.6240599410003844,0.6178878222088211,0.6194182806413219,0.6113979897012106,0.6179785809473254,0.004076520582096281
5,2.818328619003296,0.39153060965063036,0.01590113639831543,0.0030499995851531615,100,adaptive,7,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 7}",0.6467076127661021,0.7104662294864593,0.6556332785922947,0.6753097421814014,0.6241763562877026,0.6624783743492825,0.029077104171560512,73,0.663578676018332,0.6773644516760449,0.6878956898895885,0.6741073935271118,0.6274840881224056,0.6660860598466966,0.020801937763306518
6,4.1384984970092775,0.5650058342998072,0.018866777420043945,0.007742267453419681,100,adaptive,8,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 8}",0.6703365702001215,0.6857971197314905,0.6710196154507859,0.6986946842286252,0.6971936481419704,0.6845779838791103,0.012219244795542384,65,0.6906858931661461,0.6750249619565499,0.7020627952244398,0.6928209506635598,0.6947534120779492,0.691069602617729,0.008888933374648265
7,3.9799848556518556,1.2653042721282537,0.0136016845703125,0.0020658367734829627,100,adaptive,9,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 9}",0.6865079387736975,0.5795452629272579,0.6472911906219315,0.7182199906358497,0.689277610488172,0.6641313649207229,0.047954829215725546,72,0.7019640311470221,0.5566326633376517,0.6669074315858183,0.6983566751084441,0.7061632088322749,0.6660048020022422,0.056418945310107584
8,2.609825611114502,0.25450579754884517,0.02271575927734375,0.017835723092286492,100,adaptive,10,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 10}",0.6434156019901178,0.7115869258674058,0.6756908867192501,0.6873164744579289,0.6522147394545249,0.6740337365201076,0.02452295631368541,69,0.6632508166256887,0.7071885231176919,0.6937583053385438,0.6705343726782569,0.6698512104958174,0.6809166456511997,0.016717875053733303
9,3.6311479568481446,0.8339620975453447,0.018073177337646483,0.0033993349703364734,100,adaptive,15,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 15}",0.7203864421976305,0.6621512996462389,0.7245845018064483,0.7325672627919728,0.7159374903092681,0.7111121746612941,0.02510035002729256,55,0.7260911619315878,0.6545207821390916,0.7430959700615153,0.726699595491644,0.7249570314151738,0.7150729082078026,0.03100364375680548
10,2.7353071689605715,0.7361698878116149,0.013611507415771485,0.0027505389426787123,100,adaptive,20,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'ica__n_components': 20}",0.7632656658076422,0.7232736072382143,0.7254105349668594,0.7177601432703214,0.7145931466912328,0.7289107643015827,0.017655495600311585,49,0.765820194616475,0.7200141867105957,0.7273941946977264,0.7214053689787133,0.7161344095945098,0.730153670919604,0.018196687811871535
