,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07939982414245605,0.013340303131247221,0.001097726821899414,0.0002774083269872011,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.7711715664765247,0.8472719141323791,0.7855545617173524,0.8663003663003666,0.7829670329670333,0.8105108040476929,0.038429130011679455,312,0.7984728506787332,0.8131719673515337,0.8280748663101604,0.7886762360446572,0.7916002126528444,0.8039992266075858,0.014716290412956244
1,0.18083648681640624,0.060866126814433645,0.0016695022583007812,0.00037109824188864235,0.1,"(50, 50)",136,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 136}",0.8714348398420358,0.8613595706618963,0.9362701252236136,0.925824175824176,0.8997252747252749,0.8988063588303951,0.02930883289613571,68,0.9649886877828056,0.9816070925978048,0.9703912186884324,0.9853801169590644,0.9569377990430622,0.9718609830142337,0.010486598146129053
2,0.12382922172546387,0.03527458674198079,0.0014185905456542969,0.0002522307212298467,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",0.8881088196577446,0.8072450805008945,0.8336314847942755,0.9235347985347986,0.8901098901098902,0.86840574076537,0.04203356722739038,208,0.9262443438914028,0.8352096819589079,0.8462707571066704,0.9032429558745348,0.8615098351940458,0.8744955148051122,0.03467851832001753
3,0.14401698112487793,0.03847885470542995,0.0018299579620361327,0.0005514134794969517,0.1,"(50, 50)",149,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 149}",0.7988152698551997,0.8613595706618963,0.8841681574239717,0.9065934065934067,0.8447802197802198,0.8589462467370832,0.03675568770659235,236,0.9412047511312218,0.9231353785533353,0.9775682521812554,0.9728867623604466,0.9393939393939396,0.9508378167240398,0.020937313796536627
4,0.09584765434265137,0.019379720064348852,0.0012984752655029296,0.00024405247803203358,0.1,"(50, 50)",28,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 28}",0.8321632294866169,0.8957960644007156,0.8588998211091237,0.9139194139194139,0.8278388278388279,0.865630915357436,0.034116899823606966,217,0.8471153846153848,0.88654658035463,0.8228961441035746,0.916267942583732,0.8086124401913877,0.8562876983697418,0.03996320085587933
5,0.14248442649841309,0.028880711960985916,0.0018451690673828125,0.0002974735302248318,0.1,"(50, 50)",163,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 163}",0.9251864853005705,0.9190518783542039,0.8917710196779965,0.9020146520146521,0.8878205128205128,0.9052543953510956,0.014744877287122093,40,0.986368778280543,0.9911764705882353,0.9514494793132564,0.9287612971823499,0.9728867623604467,0.9661285575449664,0.023214328766157515
6,0.12041764259338379,0.04209025409688325,0.001126861572265625,9.004531586221562e-05,0.1,"(50, 50)",42,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 42}",0.8670469504168494,0.8649373881932021,0.882155635062612,0.9116300366300368,0.887820512820513,0.8826132829064801,0.016854894775480776,141,0.9513574660633485,0.898508302842668,0.9067830002814521,0.8710792131844765,0.8992557150451889,0.9053967394834267,0.0259890956308156
7,0.16635165214538575,0.04387537455813855,0.0017031192779541015,0.0002894573426524551,0.1,"(50, 50)",176,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 176}",0.8714348398420361,0.8902057245080501,0.9555008944543829,0.8612637362637363,0.9189560439560441,0.8994526007741055,0.03421085192791381,67,0.9834276018099548,0.9952153110047847,0.9869406135660005,0.9311536416799574,0.9864433811802232,0.9766361098481842,0.023075230690975584
8,0.12401385307312011,0.03909745616087756,0.0013152122497558593,0.0002498307553503077,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 55}",0.7485739359368143,0.8512969588550984,0.868515205724508,0.9450549450549451,0.84981684981685,0.8522430426222479,0.0627642536603374,251,0.7767816742081448,0.9244300591049817,0.9479594708696875,0.9439128123338648,0.8716108452950557,0.8929389723623469,0.06413218081486556
9,0.16779909133911133,0.028703023615614158,0.001761007308959961,0.0003678736837612746,0.1,"(50, 50)",190,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 190}",0.8903027643703378,0.8284883720930231,0.9787567084078712,0.8850732600732601,0.8855311355311357,0.8936585679619212,0.0482971494350398,85,0.9893099547511314,0.9679988741908246,0.9887841260906277,0.9617224880382774,0.9758107389686336,0.976725236407899,0.011007816476585164
10,0.1208986759185791,0.03881332060262713,0.0012501239776611327,9.511731250291351e-05,0.1,"(50, 50)",69,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 69}",0.8903027643703378,0.8902057245080501,0.8705277280858675,0.7582417582417582,0.887820512820513,0.8596383899911985,0.05096942655799829,232,0.9684671945701357,0.9420771179285111,0.9167041936391781,0.6919191919191919,0.8553960659223818,0.8749127527958798,0.09887118330026116
