,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.9441003322601318,0.3677050351131972,0.012546825408935546,0.0018281399008059458,100,adaptive,2,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 2}",0.48979202443166014,0.4909737788353953,0.46644454721121087,0.48087378734556363,0.5056910550337457,0.4867459410421615,0.012893638740436888,94,0.5151209141052495,0.4856845306681652,0.4689823013286715,0.4855068662423257,0.523953460898413,0.495849614648565,0.0204614909463459
1,1.482493257522583,0.21198816968506776,0.017852640151977538,0.007212633228829417,100,adaptive,132,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 132}",0.8261798625793703,0.8573806343138398,0.8409505749815438,0.8219607472323112,0.8507124677658682,0.8394249203504404,0.013657631404426517,10,0.9288850012444774,0.9035096688056549,0.9263370537342527,0.9417804045385534,0.9401357588267488,0.9281295774299375,0.013714351457430662
2,2.305453872680664,0.5633281831155289,0.021700525283813478,0.005334509157150293,100,adaptive,262,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 262}",0.8121580356544099,0.8479910232346743,0.8299173218646112,0.8290128674351184,0.8426093442540437,0.8323132936089023,0.012462233308470159,53,0.8945620371694809,0.9487815449229344,0.9587720818738429,0.9526601243878355,0.912092166836319,0.9333735910380826,0.02535229566746898
3,3.5169403553009033,0.6558465232999613,0.02669987678527832,0.0016789856943085777,100,adaptive,393,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 393}",0.8241996645595684,0.8349836131849908,0.8148007686847355,0.8231054540058127,0.8520151893810185,0.8298008788347448,0.01280331014186388,64,0.9834613809521539,0.9787805179301231,0.9162595105012877,0.9539999205639053,0.9515495974228438,0.9568101854740627,0.02397044156830981
4,4.050195789337158,0.5386510219027264,0.05790634155273437,0.015731215425516643,100,adaptive,523,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 523}",0.8173250744245295,0.8317889888835116,0.8085948464449518,0.8212100036148222,0.8304658650526013,0.8218675946419538,0.008596512788657194,90,0.9392210146007431,0.9796193928807404,0.9628456049232944,0.977067419577856,0.9022903185433216,0.952208750105191,0.028785310659681707
5,3.679781198501587,0.5478152409561451,0.05924897193908692,0.01469827426982369,100,adaptive,653,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 653}",0.817275994258781,0.8335167774112644,0.8196344568434152,0.8161677979900532,0.8632071977359028,0.8299267167584509,0.017729527662033104,63,0.962947705531362,0.9478619031268644,0.978359275562663,0.9267795852930805,0.9667666740042947,0.9565430287036529,0.017791660633276016
6,5.193102312088013,0.8429032117894485,0.06311655044555664,0.0237445213241571,100,adaptive,784,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 784}",0.8030574045559852,0.834927424335246,0.8147398580669694,0.8132395799131436,0.848871872045664,0.8229321763138314,0.016565294327367728,87,0.9807108990129039,0.9407647272203116,0.9829249939720545,0.9776652454925854,0.9778987255192355,0.9719929182434182,0.01573383131351127
7,3.8665801525115966,2.475317852056119,0.023919963836669923,0.016771541985695148,100,adaptive,45,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 45}",0.8192411181894675,0.8460536694174182,0.8295663559087263,0.8300280819009362,0.8549238237270074,0.8359345501963956,0.012783452538535762,31,0.9017955824794245,0.9032943807870165,0.9113028395552092,0.9059028887723725,0.9053852367022833,0.9055361856592612,0.0032381894679173687
8,1.984625244140625,0.337468652035488,0.025541210174560548,0.00972627685951813,100,adaptive,175,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 175}",0.8109592442244882,0.8228357888336832,0.8270236362495581,0.8295356112443873,0.8477004820709195,0.8275758012713795,0.011895351564007494,78,0.9091825971151086,0.8879751607127869,0.8977908994557606,0.9476465422913565,0.9453449004920981,0.9175880200134221,0.02454977689460281
9,3.5162213325500487,0.594904945828504,0.027506017684936525,0.005856240764960746,100,adaptive,306,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 306}",0.8109083143892366,0.832664013430543,0.8144086220230928,0.813689968758147,0.8416761423920537,0.8226476001737763,0.0122270891486137,88,0.9406089825637576,0.9656174165061028,0.9094078512820756,0.9223820912694206,0.9542447634752921,0.9384522210193298,0.020463764790627996
10,5.087440347671508,1.0803907299009594,0.0568812370300293,0.03883405922755633,100,adaptive,436,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'pca__n_components': 436}",0.8073875796441236,0.8377703416028985,0.8240188915773053,0.8192570759794127,0.8500490196731985,0.8276631119013411,0.014821174000024289,77,0.9389459493124813,0.9687008946563397,0.9823925028369505,0.9570866931931069,0.9371516991730727,0.9568555478343901,0.01732914949786039
