k,Credit Approval BIC
2,-7950.7235691553
3,-11727.06200409341
4,-13745.642838169733
5,-13634.300303317475
6,-14611.506866695605
7,-14391.146899303398
8,-14546.184187178163
9,-14641.1025007708
10,-14163.784681232328
15,-14726.177696185408
20,-13533.57339779074
25,-12552.663826108334
30,-10878.22204835316
35,-9440.926520024903
40,-7948.290817284504
