k,Fashion MNIST sse (left)
2,173107.4852204338
3,144869.7835474305
4,127700.62935009116
5,116644.20794410174
6,108391.98489291918
7,100032.62780218381
8,95509.6774259362
9,91252.56274032364
10,86869.93439067632
15,75944.03143757518
20,70083.85351021512
25,66441.53826336397
30,63390.27243277588
35,61042.96322016362
40,59131.495262712844
