,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.9009950160980225,1.0694762060572092,0.009666347503662109,0.004081512707967018,100,adaptive,2,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 2}",0.36842826625723496,0.38042547230995055,0.37491883097390827,0.3654486476864993,0.3863013597591984,0.3750865046802836,0.007623768079441071,72,0.37296548851311195,0.37816913062587837,0.379839984746148,0.3548469161571691,0.40423533512440324,0.37801137103334215,0.0158310954072495
1,3.801155853271484,1.6792164120472604,0.019112586975097656,0.00837732603727017,100,adaptive,3,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 3}",0.5201173412637337,0.5398120568719611,0.5164112574663832,0.5149168458877585,0.5255093164905357,0.5233615929567282,0.009017008053884909,68,0.5254172032159574,0.532620095382962,0.5415801477622939,0.5396740176746103,0.5256746647154585,0.5329932257502564,0.006774435617947692
2,8.386518669128417,0.9433382855345569,0.0633580207824707,0.01391595412113821,100,adaptive,4,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 4}",0.5750395529809097,0.5827200481038599,0.577333095369095,0.5524523870347819,0.5731185155138279,0.5721500517009338,0.010352433201791703,64,0.5758135290002666,0.5887132415564421,0.5862531095042828,0.5778616783781542,0.5791475851849434,0.5815578287248178,0.005014247202145387
3,4.380288887023926,1.6619461078255904,0.0338129997253418,0.02640883469478743,100,adaptive,5,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 5}",0.6262187774402752,0.6044785913029133,0.5494205880231482,0.5485571034683528,0.620860459793162,0.5898977141606798,0.034164800454285174,61,0.6111947164624764,0.6116651463443361,0.5666461862555542,0.5474711766767434,0.6196065834190231,0.5913167618316265,0.02877699245876378
4,3.7256460189819336,0.9932068733563582,0.044105815887451175,0.020760445252222443,100,adaptive,6,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 6}",0.6516449538118426,0.6212336804676778,0.6523750527097782,0.6133868738430329,0.6382491619919568,0.6353861454714914,0.015793064334407414,53,0.6457924487857452,0.6235987386185223,0.663102212163781,0.6307320908919681,0.6453679182455749,0.6417186817411183,0.013683606217580432
5,4.333128833770752,0.35494881227720604,0.04173998832702637,0.039870588467195295,100,adaptive,7,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 7}",0.7076852652768506,0.6941366465864863,0.6890152106378941,0.7112171296911917,0.7046890187213505,0.7013355724638651,0.008404864706562138,38,0.7082098469789944,0.6989248553167711,0.704504731357584,0.7011018658262419,0.7147175676602802,0.7054917734279742,0.005583424707566501
6,2.878978967666626,0.27963537343844663,0.04576406478881836,0.03776655867653041,100,adaptive,8,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 8}",0.6805076869026294,0.6803976942332909,0.7083286117530632,0.6992537026790949,0.7061192484781063,0.6948791367863836,0.01219481182383544,47,0.6803138992506168,0.6832647992850128,0.7191809570363256,0.7053781371649838,0.7112991620867575,0.6998873909647394,0.015440535209436397
7,3.4294626235961916,0.5288067472000577,0.018145179748535155,0.014005637831716152,100,adaptive,9,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 9}",0.6993385157882114,0.717122095511923,0.6893028747533699,0.700820737519787,0.7043247751853698,0.7021852736059659,0.008997984297629043,37,0.7033792971749468,0.7107552908512844,0.7073496947777059,0.6948111026635976,0.7212347929302005,0.7075060356795471,0.00868622095345053
8,3.0394229888916016,0.20467537380042375,0.03292274475097656,0.015295466755435149,100,adaptive,10,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 10}",0.6960700223974242,0.7115559956655378,0.6792250342777497,0.7102223299343199,0.6947961018381295,0.6983806327256944,0.011831663500012012,43,0.6799422496016804,0.6974382210038016,0.6858199081452843,0.7042099916781932,0.7174820706031059,0.6969784882064131,0.013324040097382923
9,4.141207456588745,0.7976225934787242,0.008121204376220704,0.0019865708413009248,100,adaptive,15,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 15}",0.7256914859692137,0.6963950774319637,0.7033675714584022,0.7014485811296515,0.7325449464965439,0.7118524797279285,0.014401020304355201,22,0.7121822292579926,0.6985327304793282,0.7194292297346171,0.7018232654808518,0.7304599561924036,0.7124854822290387,0.011659772325562126
10,3.364172029495239,0.501133994398745,0.006129598617553711,0.0009325440873204733,100,adaptive,20,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 20}",0.7067028350058501,0.7179520578481351,0.6985036041784746,0.7171104239629261,0.6898386220159705,0.7060554229249191,0.010792611391651927,31,0.7042169072410005,0.7310393077026502,0.7074594002560978,0.7080637778347054,0.6993042908423188,0.7100167367753546,0.010960812265389305
