k,Fashion MNIST BIC
2,101796.83235059486
3,-43701.207079203916
4,-53686.97041042421
5,-117613.45144749661
6,-142548.41063112507
7,-113094.09008000192
8,-95837.25477070143
9,-119503.32243509844
10,-102483.89890468749
15,8629.159450394392
20,-6295.865764727758
25,55005.4882967929
30,119720.13468235359
35,180563.60004045628
40,223966.65974121203
