k,Credit Approval sse (left)
2,2229.991292609861
3,1844.2924922908226
4,1513.527743229255
5,1286.5374428729533
6,1042.8272334950168
7,936.7986717465219
8,861.9082766122581
9,809.3681667873246
10,733.0586421237731
15,561.6038549886835
20,417.6840689607768
25,350.0704563899854
30,282.350560007834
35,233.16867206394556
40,203.84366096121914
