k,Fashion MNIST log-likelihood
2,-8.942799479816312
3,15.215615031422223
4,19.620053434996255
5,31.88757022134756
6,38.471191693785755
7,37.12634673258669
8,37.55956084453962
9,43.9582127077604
10,44.42603495074679
15,42.97273498447943
20,59.892333497833654
25,65.70021491546736
30,71.01053185437802
35,76.88516089641665
40,85.30212312465748
