k,Credit Approval log-likelihood
2,13.15830978297537
3,19.441207438130956
4,23.06888213125967
5,23.47914992268358
6,25.533751699349764
7,25.779340589655927
8,26.591994820244526
9,27.3138348902861
10,27.171269925386422
15,30.913100860171184
20,32.00387845153034
25,33.414436596835515
30,33.77736301091294
35,34.49851638787091
40,35.13607433520328
