,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,5.890850353240967,0.6444711870148936,0.015366220474243164,0.006486782956618126,100,adaptive,2,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 2}",0.2860262902578917,0.3072708200680157,0.3238761110402596,0.28467013507586886,0.33075509637040074,0.306488066402431,0.018896103416889954,94,0.29775916808914865,0.31469105787436247,0.33645058493590224,0.27886854814278683,0.325903975397687,0.31073466688797746,0.020449364216564174
1,8.431508827209473,2.7283653974358755,0.010982036590576172,0.002460604574858585,100,adaptive,3,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 3}",0.3336144696943921,0.3066712075951967,0.35240113125880773,0.3471721501842636,0.36686428312021463,0.34130647329368063,0.02033842374800491,90,0.3439505577575754,0.30946610005828595,0.3616223168251951,0.3548872144144754,0.3631022196494338,0.34660568174099315,0.019761665347700113
2,7.238372468948365,1.4169924056286682,0.015005397796630859,0.009628103467736376,100,adaptive,4,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 4}",0.4173291574606024,0.31988526093484093,0.44907328458336115,0.38822423211496815,0.45106306302124627,0.40507945479278396,0.04845846693401257,85,0.44404277864815356,0.3353882792496795,0.4707157716712561,0.3968305495842915,0.44912240269234643,0.4192199563691454,0.04835531701990234
3,5.41282172203064,0.24392564437835756,0.014800643920898438,0.002130953050584662,100,adaptive,5,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 5}",0.4313661130096339,0.35645413912096613,0.4550153648600979,0.3718839479025374,0.4494800683573954,0.41283413002460256,0.04078560711095211,83,0.4584662230268887,0.3723730093116879,0.4748216130818322,0.38014094399371906,0.45718484398431014,0.42859732667968764,0.04325569709191152
4,6.883136463165283,0.8066726854955265,0.0225677490234375,0.016201584375460362,100,adaptive,6,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 6}",0.4599220431365356,0.44924372387981,0.44745641272348463,0.47374686278360906,0.4646262066957191,0.45898738767795666,0.009776924985368049,74,0.4928861511526552,0.43891710766064307,0.4667474937567592,0.46116725061753017,0.4767558029331108,0.4672947612241397,0.017818909385128007
5,7.736081504821778,1.9454363056076418,0.023804140090942384,0.014141324364943494,100,adaptive,7,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 7}",0.4608745129174027,0.4644802691318369,0.5337761719890626,0.5562824479562851,0.4715915051429436,0.49735402671673773,0.039679653018355576,70,0.471417179623162,0.4639311245783105,0.5692918191223927,0.5418388947412297,0.4817241779381035,0.5056406392006397,0.04205879771086464
6,6.8736574172973635,1.269243783541662,0.012834978103637696,0.0031311377685015987,100,adaptive,8,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 8}",0.44098069477928276,0.5395985057416911,0.5418992305412416,0.5641879841257441,0.47627026301214725,0.5125283652235597,0.046290233858870794,65,0.45846246781602634,0.5241922768348458,0.5735606420213675,0.550394583271809,0.47204916581037704,0.5157318271508852,0.04428365865755153
7,6.747506427764892,0.9281190969654212,0.017101621627807616,0.0072857685309986,100,adaptive,9,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 9}",0.45977522742403654,0.5583402812597177,0.5391670825838419,0.6419751474338946,0.4728921308029421,0.5343650142274785,0.06559006253618564,60,0.4841738845841272,0.5537277414694934,0.5648086550774848,0.6423115363887829,0.4755960432661507,0.5441235721572079,0.06074697737264547
8,6.982045316696167,1.4024703895674644,0.013668441772460937,0.003050187752337169,100,adaptive,10,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 10}",0.47217709235279753,0.5428226518263444,0.5720589867937244,0.6348469431421196,0.47927132492709446,0.5401776302018034,0.06051365939892285,59,0.48633573063938745,0.5375410737156837,0.5971027456352762,0.6561099639376282,0.4893281998064581,0.5532835427468867,0.06528938076667118
9,5.912202405929565,0.688539878896933,0.01196913719177246,0.0023488387180434006,100,adaptive,15,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 15}",0.5908762273244212,0.6428138298634533,0.6172016613325186,0.6526172364825442,0.5960015621789304,0.6198833185883745,0.02456246500413833,50,0.589200697540191,0.6404821718085719,0.661301335214336,0.7004806309912458,0.6197097338302665,0.6422349138769222,0.0376275854344156
10,6.640484619140625,0.5465339719999933,0.013976955413818359,0.00226192983509658,100,adaptive,20,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'filter__n': 20}",0.626782699985287,0.6664612239624839,0.6638407708151327,0.6744790313015611,0.6672667704969971,0.6597216808590879,0.016893653886435576,43,0.6622811138486171,0.6936991883588907,0.6930989770973771,0.7014665628163881,0.7123641431150499,0.6925819970472646,0.016672898484487577
