,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.20372252464294432,0.026966008791051908,0.008726263046264648,0.002386672299770566,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.16068196296691895,0.043345561683823065,0.005649089813232422,0.00013944898674943715,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",1.0,1.0,1.0,1.0,0.9642857142857144,0.9929174201326101,0.014240306998104168,17,1.0,1.0,1.0,1.0,0.9649122807017544,0.9929824561403509,0.014035087719298244
2,0.15842781066894532,0.03211122326544335,0.00663142204284668,0.001410443193817678,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.981132075471698,0.9903846153846153,1.0,1.0,1.0,0.9942515141494124,0.007588545507243198,13,0.9951923076923077,0.992822966507177,0.9904306220095694,1.0,1.0,0.9956891792418109,0.0038283372933980097
3,0.18029580116271973,0.031216875859482286,0.006464624404907226,0.0017649638013175145,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.9811320754716982,0.9807692307692307,0.9615384615384617,0.9903846153846153,0.9807692307692308,0.9788952986349689,0.009432426210716422,25,0.9831730769230771,0.9904306220095694,0.964114832535885,0.9904306220095692,0.9665071770334929,0.9789312661023187,0.011457294832734317
4,0.17505040168762206,0.029151601081392524,0.006514167785644532,0.0015607225508676395,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.9528301886792452,0.9903846153846153,0.9519230769230771,0.9711538461538463,0.9807692307692308,0.9693495740784969,0.015209275616369628,35,0.9567307692307693,0.9904306220095694,0.9258373205741627,0.9497607655502392,0.9665071770334929,0.9578533308796467,0.02110897261718484
5,0.17732181549072265,0.06655898507215559,0.005703878402709961,0.00021164326889439863,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.8497147871873629,0.8325134168157424,0.9903846153846154,0.9711538461538463,0.8653846153846153,0.9016509451764477,0.06558338462397713,149,0.9046380090497739,0.8861103292991838,0.9654095130875318,0.95906432748538,0.9019138755980861,0.923427210903991,0.03237568572208363
6,0.1987677574157715,0.04979370726210096,0.008066749572753907,0.002235393101970103,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.9789381307591049,0.9595259391771019,0.9691413237924869,0.9807692307692307,0.9354395604395607,0.9648208373599396,0.016473015403627028,45,0.9898472850678735,0.9650576977202365,0.985645933014354,0.9659755449229133,0.9359383306751727,0.9684929582801101,0.019121579319781944
7,0.15749907493591309,0.019325032581276495,0.007297086715698242,0.0019983504510764877,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.9207985958753838,0.9094364937388194,0.9190518783542041,0.8154761904761906,0.9423076923076924,0.9015500960644707,0.04413125743978894,153,0.9644513574660634,0.9037996059667885,0.9048972699127498,0.8886230728335992,0.9433811802232855,0.9210304972804971,0.028257211211686166
8,0.1777864933013916,0.0490500857496504,0.006158351898193359,0.0010049525301131337,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.8576129881526985,0.8067978533094811,0.8472719141323795,0.9473443223443224,0.7999084249084251,0.8517072426400718,0.05254689739244646,262,0.9192873303167421,0.8400365887981988,0.8659583450605122,0.9314194577352471,0.8524720893141946,0.8818347622449789,0.036667837050404946
9,0.22390422821044922,0.07617525038039583,0.006218576431274414,0.00042660309311227636,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.8032031592803861,0.9575134168157424,0.9787567084078713,0.9665750915750918,0.9065934065934069,0.9222173080485218,0.06478982921460266,97,0.8364819004524887,0.9770194202082747,0.9735294117647059,0.9433811802232855,0.8878256246677299,0.923647507463297,0.05405040910108407
10,0.21237688064575194,0.04361779584884475,0.007798290252685547,0.002842108881242608,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.862000877577885,0.9150268336314847,0.9883720930232559,0.9569597069597071,0.9377289377289378,0.9318053056548733,0.04262674771752373,87,0.8813631221719458,0.9178018575851392,0.9917253025612157,0.913343965975545,0.9146730462519935,0.9237814589091679,0.03645090191924862
11,0.21256465911865235,0.03384028323241675,0.007599020004272461,0.0018694010671985234,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.8808688021061869,0.9013864042933811,0.9382826475849733,0.9665750915750918,0.7683150183150184,0.8911637874690042,0.0678826324268246,178,0.9607183257918552,0.9167041936391782,0.940233605403884,0.954013822434875,0.829611908559277,0.920256371165814,0.047759526259279796
