k,Credit Approval BIC
2,24502.472538944574
3,24285.199379286954
4,23544.605576331043
5,24443.926167194353
6,25107.46019518408
7,24890.357024038218
8,25121.795069646258
9,25353.70795695405
10,25491.693716562826
15,24115.823187552283
20,26927.95397532277
25,29984.129723029375
30,33133.54396011175
35,34343.79154145949
40,36035.46247620997
