k,Fashion MNIST log-likelihood
2,-47.15221490685369
3,-41.60464081648401
4,-38.634093468355196
5,-37.41656502809147
6,-35.99685731481848
7,-34.912267809816974
8,-34.48010283921559
9,-33.90872296831794
10,-32.92428169317872
15,-31.582283132471815
20,-30.631328152219726
25,-29.252542568713316
30,-28.685527838518727
35,-28.15242022326649
40,-27.32331198148105
