k,Fashion MNIST BIC
2,327575.05360879714
3,291578.1951805216
4,273259.7402040184
5,266966.9949354697
6,259287.29985407746
7,253906.5156814276
8,253001.3638147626
9,251141.1977320652
10,246447.43041627062
15,247538.81944812363
20,251312.7674418967
25,252151.79749734508
30,258559.5756065126
35,265199.9565241846
40,269809.7731438389
