,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.39069256782531736,0.07313881190505502,0.005685043334960937,0.0009506190282318298,100,adaptive,2,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 2}",0.19552042160737815,0.19861853832442067,0.19552042160737818,0.19855072463768111,0.19846153846153844,0.1973310103696606,0.0014827680531134366,75,0.19740041637751563,0.19447762034872254,0.19740041637751563,0.1966443138610439,0.19666749324957294,0.19651805204287412,0.0010731980113269045
1,0.90968918800354,0.10529330745398245,0.007201194763183594,0.00099785320819146,100,adaptive,3,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 3}",0.2839964424226519,0.28695652173913044,0.28405797101449276,0.28262939958592126,0.2824421273526133,0.2840222168252355,0.0016162737579199515,66,0.2825404635715877,0.2810949347081605,0.2814650007394314,0.28145978731486315,0.28480569397539146,0.28227317606188684,0.001355587760958725
2,1.2513781547546388,0.20608144361303113,0.023435211181640624,0.01596478834954407,100,adaptive,4,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 4}",0.36649796477072155,0.36800815978565343,0.35658385093167705,0.36805532915507333,0.36020707499292837,0.36387945681510814,0.004649552209464153,61,0.35800360475512216,0.36425728452816397,0.3585820051850907,0.36274603422664237,0.36614148178567607,0.36194608209613904,0.003176258795997021
3,1.342074728012085,0.22535438404404778,0.009055089950561524,0.0026322347142328432,100,adaptive,5,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 5}",0.43531808770939207,0.3770806385238502,0.397850720489954,0.3946253422748822,0.42328790548815737,0.4056035867468057,0.020949796364217264,59,0.4276850195050376,0.370524104317722,0.4009064425124737,0.38428671148525406,0.4316646499852861,0.40301338556115474,0.02383386414844524
4,1.6922275066375732,0.4167254228420499,0.020284461975097656,0.024890181764667396,100,adaptive,6,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 6}",0.47150407989282667,0.4811472415052978,0.42088750041931705,0.41811641813416817,0.4233938266566048,0.44310321334687325,0.02744654343484796,55,0.44616608782860756,0.46822918240214056,0.42612004196235376,0.4217819642561143,0.4326079598105832,0.4389810472519599,0.016786353828893295
5,1.8392662048339843,0.2929217991608849,0.009662628173828125,0.002300608349567654,100,adaptive,7,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 7}",0.5284989390734861,0.4911145248613279,0.4827230934865935,0.4665704542686639,0.5033426170348337,0.4944659424589207,0.020822184334913462,46,0.5201326792678346,0.48201437181072765,0.49852417983710373,0.46595019723302944,0.5151584758430284,0.49635598079834475,0.020267016157592452
6,2.081622076034546,1.0138939541817904,0.017370319366455077,0.010164039682201573,100,adaptive,8,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 8}",0.5206659580828379,0.5172014813830671,0.5260477348865332,0.4923646368645796,0.5043325180119469,0.5121578274517253,0.012193149657373007,44,0.5130579870445523,0.521641222718251,0.5293136713552876,0.4778113706969833,0.5215402774401925,0.5126729058510533,0.01817388777186265
7,1.8727112293243409,0.33258687718173496,0.013933658599853516,0.008522715579682108,100,adaptive,9,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 9}",0.5973514207776303,0.5418003011481273,0.5775238655429136,0.5303131282962943,0.5692959460028209,0.5632711860640549,0.02430482257715794,36,0.590842656760975,0.5397923969160154,0.5706148164613674,0.5540375228508222,0.5681278839173178,0.5646830553812995,0.017112858435632334
8,2.310503053665161,0.6178299904496514,0.014389657974243164,0.007098322783900428,100,adaptive,10,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 10}",0.5913729404248478,0.6029264254830697,0.5750251119266656,0.5359601496466403,0.5905844082753653,0.5791966807986506,0.023354310144849337,35,0.5919858794617058,0.5942315810040034,0.5555513601638203,0.5523441273089653,0.5871528240402927,0.5762531543957575,0.018383422534050793
9,3.034151220321655,0.42879163523885383,0.014989852905273438,0.003152439352248225,100,adaptive,15,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 15}",0.6140781034342145,0.6585969977814652,0.6393782575941619,0.6155225362745307,0.644928908617308,0.6344928871465352,0.017282038072335658,27,0.638902299585234,0.6517612584675619,0.6349863227402653,0.6470822950267918,0.6460954046984543,0.6437655161036615,0.0060180795982762506
10,3.936188316345215,1.1029132694102313,0.022678470611572264,0.011199884727115923,100,adaptive,20,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 20}",0.6487923152337259,0.6459308248155912,0.6889275950043473,0.6526763270575539,0.6657508472365136,0.6603939829204722,0.015802273894654495,22,0.6622395503125423,0.6409540211586138,0.6859545653822104,0.6683320401110888,0.6720408655989493,0.665904208512681,0.014707217995168633
