k,Credit Approval log-likelihood
2,-32.586711116886946
3,-30.04107802228269
4,-26.70493036076259
5,-25.84599477449811
6,-24.63088613253335
7,-22.085509818158336
8,-20.217688211870787
9,-18.35058388911761
10,-16.341595687665006
15,-3.17611189028959
20,3.6630859300752165
25,10.133635774705693
30,16.46334197979575
35,25.72230295185653
40,34.25403831454763
