k,Fashion MNIST sse (left)
2,1454049.857544221
3,1215677.8679200062
4,1057746.800753321
5,972906.9750275301
6,895320.1949012568
7,818755.84721812
8,768392.0724844908
9,722337.7879394238
10,683163.5994080896
15,556729.7950904542
20,490501.12895107304
25,438003.05957180564
30,406337.45928449207
35,384686.82343250635
40,363234.51851239684
