k,Credit Approval sse (left)
2,15823.000879537762
3,14868.891603106913
4,13445.447635646462
5,12429.880015908959
6,11709.271843415672
7,11076.58836575649
8,10819.565755796999
9,9987.363275888158
10,9769.283970442184
15,8097.137234076258
20,6762.666894091687
25,5959.75787854322
30,5464.28865403324
35,5009.548311624541
40,4692.430547921571
