,0,1,2,3,4,5,6,7,8,9
2,0.8164584686871945,0.8174931150159604,0.8171446505818445,0.8172175784677096,0.8161360540910836,0.8172549191113755,0.8172954140044713,0.8178539780597478,0.8165950508679493,0.8166085544200431
3,0.812709636058752,0.8137390472682006,0.8139720345734058,0.8132478078844749,0.8134651707523267,0.8142625310035354,0.813488706981024,0.8149660876917454,0.8132281173208363,0.8119563346512639
4,0.8092890644379259,0.8112241251822806,0.8108535030006915,0.8095737407592751,0.8093824726642024,0.8111056602423355,0.8105829972597924,0.8123555260556639,0.8088053459022384,0.8093865827885612
5,0.8075476710431739,0.8064287942528363,0.8062545181634321,0.8062515966953658,0.8068613722438116,0.8079366951656443,0.8069667396733998,0.8086956466726061,0.8050080284808883,0.8075415642046977
6,0.8025683656706754,0.8026293362831126,0.803431463220642,0.8032290628470409,0.8023920682571617,0.804061696535038,0.8035431568372964,0.8070159227520106,0.8031523225554651,0.8033585290324864
7,0.7985223037623123,0.7998600614102402,0.7997897647590897,0.7999835681090749,0.7998038964508597,0.7990709842971766,0.8011483108514663,0.8035663184784327,0.8001873746911872,0.8018218928465819
8,0.7936945114790448,0.7974357247673257,0.7976465440602121,0.7970376410010107,0.7966702135175321,0.7965178294593582,0.7977790011169812,0.7984216154066406,0.796177042988686,0.7972137301727074
9,0.793597446096746,0.7922504346450833,0.7929572082542267,0.7935332483443556,0.7933983248393959,0.7915480873918265,0.7943904290766505,0.7958515220322911,0.7925581645334363,0.7930789002282174
10,0.7882972954566746,0.7880628604925713,0.7913445705195064,0.7904442707024978,0.7912317991963771,0.7872558565518982,0.790685744130385,0.7929678357136243,0.7892378634546269,0.789277981458102
15,0.7701410155541609,0.7716373559248478,0.7709631887906687,0.7741384845297073,0.7720162024936105,0.7716888799711342,0.7744577809569058,0.7744339689956189,0.7729184325793043,0.7726560688391189
20,0.7549638336449168,0.7578149406436285,0.7555435290645515,0.7561731350952595,0.7561218976819472,0.7560620036733949,0.7565429938281916,0.7590566949537654,0.7573739209849302,0.7578892865938937
25,0.7368610359802216,0.7405766488050682,0.7383066070235613,0.7389457762513549,0.7413658463959497,0.7401461394260008,0.7405751015135419,0.742483579306516,0.7391023398608885,0.7412625273808644
30,0.7202978855959727,0.7213509982657539,0.7249063686014385,0.7250352075197954,0.7215474968916876,0.7231545111796126,0.7236345740664413,0.72411291911363,0.7191414853002568,0.7197009714483411
35,0.7037429307322768,0.7085214540761907,0.7052915705591913,0.7041699782138545,0.7075176107619517,0.7031649056774322,0.7067234902339592,0.7045460015467598,0.7038838709557196,0.7033179880786733
40,0.6895446932864864,0.6885949392512157,0.6882476385455981,0.6883181719449782,0.6863027716543086,0.6874716404406921,0.6875535663496446,0.6870562634430565,0.6856507623638091,0.6862056704155663
45,0.6673786310891048,0.6720570385388184,0.6761848000393474,0.6745321510525545,0.6712711438669069,0.6687969806705959,0.672582107671969,0.6724691552769713,0.672553498081356,0.6698177944170836
50,0.6512071399390109,0.6547566168671217,0.6564226934495087,0.652900341134614,0.65298808289208,0.6551856876088106,0.6533923200197191,0.6539517752523778,0.6530577369924528,0.6552715290808805
55,0.6323144179263721,0.6384023842133922,0.6434274491283956,0.6362499522632917,0.6358360313800184,0.6371591073475006,0.6395646691970814,0.6331554219436898,0.6362935721923528,0.6387543194374359
60,0.6187130425498084,0.6217025547203646,0.6252213668362214,0.6216175705600602,0.6138969298284153,0.6249776556155386,0.6205061197506293,0.6206989407253503,0.6155370969213911,0.6194572120543149
