,0,1,2,3,4,5,6,7,8,9
2,0.5897003628586068,0.3081213505859113,0.44006565410498905,0.5245891505041927,0.37918873003379466,0.47458455871543376,0.4041289837728067,0.4245710465973572,0.42681224449364785,0.4668881186826507
3,0.5952760855556309,0.4674821590875638,0.509528865521491,0.4947933973376758,0.47040423500908035,0.5562290220920715,0.43824852036358364,0.45505446356688456,0.49678098347469857,0.46237906607199425
4,0.6553438987418806,0.5740767342985571,0.5595687434157681,0.6466264625752274,0.4554505951070283,0.6428233060747962,0.5724615690648412,0.4168228076317902,0.692047247055285,0.5820888288427026
5,0.618638445437223,0.5730296565954441,0.6051085830055729,0.6927461758505342,0.6750019325621358,0.6557352631859407,0.5519952166961334,0.641504816413223,0.6079335609780545,0.6086185362129805
6,0.6564184756320867,0.6543101719020796,0.6710531201635345,0.7205067301766968,0.6661669291528692,0.7337011615021454,0.6673444437028003,0.6047666014813262,0.6706952472227549,0.6159992226069244
7,0.7609731988494257,0.6731041562123695,0.7579395259003593,0.7533746356266442,0.7367326537820857,0.6981986030629126,0.724990963881782,0.7429239589839686,0.7147599932956138,0.7324007531890467
8,0.7227948427520274,0.6938394203572209,0.7137452554095,0.6729457056833201,0.7442597297223761,0.6910313378124133,0.7031719623817979,0.7306205446404437,0.7718903178525977,0.7265758629500356
9,0.7873120037661543,0.7735213936268356,0.7408144953796697,0.791335746091851,0.7403682663676373,0.7006809082847266,0.7705844194399704,0.7399721439997692,0.7416827284123717,0.6806408944608665
10,0.77836627233797,0.714792501516838,0.7741605925453852,0.7864845207644435,0.7729966733377336,0.8155545639109759,0.7907586363828788,0.7753322468502386,0.818452831918724,0.728509823002917
15,0.807589565213019,0.7985196725650872,0.8062136364526887,0.8661495622586636,0.8570335843523642,0.8113258058184115,0.8405280634236821,0.8395253663244482,0.8423768777285884,0.8234650275300716
20,0.8595678661995622,0.8540939710877792,0.853706472705357,0.8800473237850225,0.7980836598363419,0.8546880077676369,0.8664863672986074,0.8568377568323768,0.9066376133195022,0.8734751633434091
25,0.8728078301598592,0.8785438314294746,0.8933758056576475,0.8996046201018705,0.8805165662529315,0.8964215124046087,0.8590421115712457,0.9015622067762884,0.9032729678280166,0.9042283698266078
30,0.9027526600535761,0.9010760488265801,0.9003099432760593,0.913801235295639,0.9016453201825294,0.9205201861368039,0.9025896306320176,0.8954154260214953,0.9083299069011864,0.8751655896324323
35,0.9275206461044142,0.894685933226519,0.9121572294295122,0.9300451084524276,0.9023991546646633,0.9047116333294397,0.9150369199702775,0.9154902184364201,0.9119642252423175,0.9068584043252633
40,0.9194502222779521,0.9229673336795676,0.9294172127651831,0.9447899625179548,0.9228542285586959,0.9274193400858749,0.9206584586878547,0.9308911681903331,0.9225818135374613,0.9212483862672117
45,0.9360456191482405,0.9280929988415972,0.9272081456402566,0.9331819972475185,0.9258140545892153,0.9428582754596827,0.9403117937101495,0.94181225027504,0.9415004723597932,0.9387085880569781
50,0.9342825909808133,0.947897509753875,0.9412677029769237,0.941095209728832,0.9502098958218185,0.9308649488289145,0.9328354975498118,0.9292644760365364,0.939783676107372,0.943357103293629
55,0.9524360575752685,0.9372878721870941,0.941750116708317,0.9524251784428807,0.9500120959114117,0.9404926964503301,0.9495160314022781,0.9411885925870467,0.9420620648290404,0.9447862996407616
60,0.9445938596120117,0.9521280557248266,0.9385536306967812,0.9531004050316537,0.9324473044410816,0.9515007121513711,0.9450223139769702,0.9419396612866163,0.9493702747366121,0.9452660543519055
