,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.1666922569274902,0.4335860308095167,0.013294410705566407,0.00626981751734328,100,adaptive,2,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 2}",0.3969856511424339,0.37685765144947203,0.35802058929235625,0.3867579488927799,0.37770167652051584,0.37928051229691856,0.012893505023205899,93,0.38704563302620454,0.36713939583372657,0.37935113317328784,0.3991640840834833,0.3812244737984276,0.382784943983026,0.010444510542090637
1,0.8741925716400146,0.2739402154242856,0.00893101692199707,0.0013297096981692038,100,adaptive,3,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 3}",0.40777828414558936,0.36518478638339946,0.4075091700398648,0.3973424071332159,0.3806480633662445,0.3917102563237403,0.01653452135028431,90,0.41046300873549635,0.3796181760643836,0.4056681412797586,0.41484937534927474,0.39047804531033087,0.4002153493478488,0.013175437882488067
2,1.8877665519714355,1.2497058279087854,0.010210418701171875,0.002564482112060505,100,adaptive,4,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 4}",0.41243136748419307,0.4569829989437207,0.4201248502855666,0.4221433565010397,0.44867928489689013,0.4320479095781545,0.01746252059450255,82,0.4469139809812727,0.45588262897218906,0.45821357524982187,0.4631715474106386,0.4620130831065002,0.45723896314408446,0.005785888787389259
3,1.3675171852111816,0.5411930262407708,0.011505031585693359,0.0014556888217570738,100,adaptive,5,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 5}",0.489281934751931,0.46306214115246336,0.46216282135591874,0.45067044168912995,0.4492632198127648,0.4629311889059686,0.014384589211108507,80,0.5090949637308295,0.48515159457959767,0.5025794939166104,0.5025277932250287,0.46405141911262426,0.49268105291293807,0.016374996621362745
4,1.270967149734497,0.25524110226691277,0.02649531364440918,0.029560050053914672,100,adaptive,6,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 6}",0.5253926927020405,0.5488370294628471,0.5379077284716018,0.5312703827240701,0.5496342546943965,0.5385910140821643,0.0095454380983796,75,0.5842154541752306,0.5811436700706925,0.5676818084646197,0.5796951887129359,0.5709613820855213,0.5767395007017999,0.006315870853543873
5,1.4836270332336425,0.3551052523669835,0.013134050369262695,0.002887068865706832,100,adaptive,7,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 7}",0.5332268011403026,0.5987414620480787,0.5593572149031718,0.5316733796606588,0.5936985841852784,0.5633041280551893,0.028637178584575318,69,0.5721091066860543,0.6082442032285221,0.6260001344303746,0.6062913776026791,0.6062060038714854,0.6037701651638232,0.01748657197108961
6,1.1058866024017333,0.13855325743960445,0.011587858200073242,0.0035335423383020506,100,adaptive,8,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 8}",0.6473098915506817,0.6428232043785669,0.632965899909339,0.6334380519268035,0.6639597497439014,0.6440905141057979,0.01133314205955255,53,0.6686921082408065,0.6736381623429308,0.6840947034684309,0.6785392382387163,0.6781768240981124,0.6766282072777995,0.005171476682572348
7,0.9468953132629394,0.20043649775931596,0.010234451293945313,0.0012533023047535431,100,adaptive,9,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 9}",0.6071910768615795,0.643726290442038,0.6136393275032389,0.6261803801095888,0.6407563723785151,0.626270994647771,0.014418292733817041,64,0.663523675790468,0.6634841819207384,0.6708455629438937,0.6576420542515379,0.6839372548419651,0.6678865459497206,0.009052580767269518
8,1.2363605976104737,0.5005223073680827,0.009174394607543945,0.0020548163376186094,100,adaptive,10,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 10}",0.654309027217703,0.6434627928099157,0.6255365166445223,0.6362996004858794,0.590645153842244,0.6301077259781259,0.021805166297682293,63,0.6890201408092774,0.7004713278270889,0.6728428434500958,0.6636116122766622,0.6258431754849183,0.6703578199696085,0.025645061154688533
9,1.4863479137420654,0.31999295061140515,0.009373092651367187,0.003371508750055052,100,adaptive,15,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 15}",0.690251221437125,0.6914341238502161,0.6622717749213023,0.6635781660768406,0.6775210482700673,0.6770327872592331,0.012506085660865182,50,0.7503435899040871,0.751444167798214,0.7442230485523648,0.7527457139693279,0.73105151154297,0.7459616063533928,0.008007719856022642
10,1.2943541526794433,0.41433112703305497,0.009988164901733399,0.0033589873026132195,100,adaptive,20,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'rp__n_components': 20}",0.7394053451188506,0.7281553388755844,0.7153126684781164,0.700398863419781,0.7493897861231154,0.7265378749323013,0.017303020417305654,45,0.8174082302966541,0.793335170397434,0.7984603323286759,0.7556621359297648,0.7852309390495649,0.7900193616004187,0.020177921843356636
