,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.09959659576416016,0.03679190015485438,0.0016632556915283203,0.0003654980115075957,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.7378236068451075,0.7278622540250447,0.7350178890876566,0.7490842490842491,0.6057692307692307,0.7113099302933841,0.052932754386818805,197,0.7562782805429865,0.750070363073459,0.7107374050098508,0.7107921318447634,0.6581605528973951,0.717207746673691,0.035145567860558155
1,0.09410228729248046,0.005155932234287695,0.0013599872589111328,0.0001605118020039812,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.7240017551557699,0.6974508050089444,0.7602862254025046,0.7944139194139194,0.7445054945054949,0.7439823023047816,0.03274922631089759,96,0.7615950226244346,0.688376020264565,0.7583450605122432,0.7527910685805422,0.7591706539074962,0.7440555651778562,0.0279886008695906
2,0.11967296600341797,0.04727458367259472,0.001574087142944336,0.00031600097410301286,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.6985519964896886,0.8148479427549193,0.6677101967799639,0.7486263736263736,0.646062271062271,0.7151998892817649,0.060562275939384146,182,0.7225961538461539,0.7154798761609907,0.7574021953278919,0.7445507708665604,0.730728335991494,0.7341514664386182,0.015116965840609077
3,0.09517698287963867,0.024085106487739094,0.001558208465576172,0.00018584336581944984,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.801009214567793,0.7186940966010732,0.779964221824687,0.7870879120879121,0.7156593406593407,0.7606068915763653,0.03602070476752436,49,0.8156391402714932,0.8296791443850268,0.7862651280607935,0.8253588516746411,0.6706539074960128,0.7855192343775934,0.059395456335137625
4,0.11140527725219726,0.026999452800610696,0.0016007423400878906,0.00015691384340852288,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.7073277753400614,0.5927996422182465,0.7390429338103758,0.7586996336996338,0.6625457875457874,0.6920370901950096,0.059310393537132494,227,0.7301187782805431,0.7261469180973824,0.7611314382212214,0.73471557682084,0.7006911217437535,0.730560766632748,0.01930648340563677
5,0.12317404747009278,0.040023026709982784,0.0016463756561279296,0.000368878636750503,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.6375603334795964,0.7097495527728085,0.6343917710196778,0.7298534798534799,0.5009157509157509,0.6425981549929011,0.08008215493433253,278,0.7570701357466063,0.7322685054883198,0.6486208837602027,0.6871345029239766,0.5983519404572037,0.6846891936752618,0.057033000093681216
6,0.09603815078735352,0.010307879210192198,0.001401233673095703,0.00024127278864894078,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.7218078104431768,0.7238372093023256,0.7177996422182469,0.7440476190476192,0.7536630036630038,0.7321389224299534,0.014022783361720035,131,0.7963518099547513,0.7863073459048691,0.7434421615536165,0.7554492291334397,0.7594364699627859,0.7681974033018926,0.019863194741404046
7,0.11880354881286621,0.09379673548440844,0.0015843868255615234,0.00010606069718620346,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.7174199210179903,0.7146690518783542,0.7587209302325582,0.7293956043956045,0.793956043956044,0.7426991891631196,0.029907525495011703,105,0.7969174208144798,0.7511258091753447,0.7927385308190261,0.7426900584795322,0.7222222222222223,0.7611388083021209,0.02909903355817295
8,0.10132346153259278,0.02419936539361635,0.001513195037841797,0.00037430485018729014,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.663668275559456,0.6520572450805007,0.7025939177101967,0.7202380952380953,0.7060439560439561,0.6887648264542972,0.026298297108132536,229,0.7803167420814481,0.7269349845201238,0.798072051787222,0.7410951621477937,0.7078681552365763,0.7508574191546328,0.03350443133337136
9,0.16780362129211426,0.08542292584041834,0.0017446041107177734,0.0007005077961454663,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.7755594559017113,0.685375670840787,0.7294275491949911,0.7532051282051284,0.6794871794871794,0.7247533556815191,0.03748095249243967,147,0.8038461538461539,0.818111455108359,0.825288488601182,0.7344497607655502,0.7977139819245085,0.7958819680491507,0.032247772536646596
10,0.144602632522583,0.03696862927502379,0.0016665935516357421,0.00021462606286605846,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.7101799034664328,0.768783542039356,0.5999552772808584,0.631868131868132,0.6703296703296703,0.676400953533315,0.059274387630397316,249,0.8033088235294118,0.779130312412046,0.6649310441880101,0.6523125996810208,0.8535353535353536,0.7506436266691685,0.07897779352017943
11,0.14259543418884277,0.04493044337335823,0.001611185073852539,0.00031991613689026204,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",0.5903905221588416,0.7354651162790699,0.6809033989266545,0.6872710622710623,0.7156593406593407,0.6816623564287986,0.0500292963191041,234,0.746351809954751,0.8326625386996903,0.7510132282578103,0.7081339712918662,0.795055821371611,0.7666434739151458,0.04300045698786606
12,0.12601237297058104,0.01743692873792177,0.0014918327331542968,0.00026693859449715803,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",0.7428696796840719,0.7506708407871198,0.6368515205724505,0.7847985347985349,0.7660256410256413,0.7360919538107651,0.051710208586251416,121,0.8169117647058823,0.8323107233323951,0.7320292710385589,0.797979797979798,0.8203083466241361,0.7999079807361541,0.035683269032876726
13,0.1833059310913086,0.05454767328814346,0.0018565654754638672,0.00047667469594908494,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 35}",0.7878455462922335,0.7779516994633274,0.8224508050089446,0.7898351648351648,0.7802197802197804,0.7916805384052429,0.016038678237255764,16,0.890950226244344,0.8804672108077681,0.8710948494230228,0.9175970228601806,0.9011164274322171,0.8922451473535066,0.01618115517781995
14,0.13839597702026368,0.04468120652550675,0.0016355037689208985,0.00031021467287582413,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 40}",0.6077226853883282,0.787567084078712,0.7739266547406084,0.6872710622710623,0.777930402930403,0.7266080605781701,0.06989470949061957,145,0.6648472850678734,0.8580354629890233,0.848663101604278,0.7488038277511961,0.8726741095162149,0.7986047573857171,0.07986902968330555
15,0.1673196315765381,0.062097591956564,0.0016675472259521484,0.00016436939965894142,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 45}",0.8060552874067574,0.7086314847942753,0.7274150268336316,0.9235347985347986,0.7110805860805861,0.7752311652944011,0.0819599515456082,32,0.8350961538461539,0.8534477905994933,0.8698001688713763,0.9364699627857522,0.8439659755449231,0.8677560103295396,0.03623021661185788
16,0.18304929733276368,0.09802851172500263,0.001529359817504883,0.0002647805337477291,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 50}",0.6665204036858271,0.7895796064400715,0.7526833631484794,0.7898351648351649,0.7490842490842493,0.749281362390668,0.045179244456025495,83,0.7299773755656109,0.8892907402195327,0.8275260343371799,0.900850611376927,0.861244019138756,0.8417777561276013,0.06136523111346492
17,0.13544483184814454,0.03313344722009332,0.002040386199951172,0.0005235496328703889,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 55}",0.7428696796840719,0.7374776386404294,0.7991949910554562,0.8063186813186815,0.7536630036630038,0.7678009862005452,0.029009773588429023,45,0.8896210407239818,0.8719954967632987,0.9100759921193358,0.8545986177565126,0.8421052631578949,0.8736792821042048,0.024259784521970716
18,0.17334766387939454,0.0585141628868798,0.001792144775390625,0.00034341967724567087,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 60}",0.8271171566476524,0.7895796064400715,0.7719141323792488,0.7683150183150185,0.7467948717948719,0.7809398352243454,0.026943852314943187,21,0.9339932126696835,0.8935265972417674,0.8537996059667885,0.7947900053163213,0.9274322169059012,0.8807083276200924,0.05156112149545293
19,0.06510429382324219,0.013626646480094286,0.0017806529998779298,0.0002542663044299794,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",0.7400175515577008,0.7162343470483005,0.7739266547406085,0.767857142857143,0.7032967032967032,0.7402857418944033,0.027655999758827196,109,0.7346436651583711,0.7495215311004784,0.7439909935265971,0.7448165869218502,0.7461456671982989,0.7438236887811192,0.004962734370809467
20,0.02694220542907715,0.0035455454811578017,0.001500415802001953,0.00012782921899998084,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 3}",0.7123738481790257,0.758720930232558,0.7350178890876566,0.8063186813186813,0.7087912087912088,0.7441211116686426,0.035751517952016185,92,0.7522341628959276,0.7491697157331834,0.7465803546298901,0.7288676236044658,0.7498670919723551,0.7453437897671644,0.008432892247279179
21,0.05054960250854492,0.021789944436841787,0.001378631591796875,5.555809784390191e-05,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 4}",0.6208863536638877,0.7783989266547406,0.6621198568872986,0.5173992673992674,0.6771978021978021,0.6513639217939905,0.08448118316700035,270,0.6830882352941179,0.6155924570785252,0.6887700534759358,0.6273258904837852,0.7533227006911218,0.6736198674046971,0.049359968417092885
22,0.07816352844238281,0.013648791511178086,0.0016137123107910155,4.588417431772734e-05,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",0.7022817025010969,0.6630143112701249,0.6974508050089444,0.7385531135531135,0.7797619047619049,0.7160017747009043,0.03970995071504798,174,0.7162613122171946,0.7597523219814241,0.7352800450323671,0.7155768208399789,0.7017543859649122,0.7257249772071753,0.020081308676124298
23,0.08147501945495605,0.023490735955137995,0.0015151500701904297,0.00026007071927073146,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 6}",0.6935059236507239,0.6585420393559925,0.7137745974955279,0.6625457875457876,0.6025641025641025,0.66638603131159,0.037710366652838,258,0.6729072398190046,0.7075569940895018,0.7421896988460455,0.6959064327485381,0.6629452418926104,0.69630112147914,0.027901614226752934
24,0.06463899612426757,0.016445057693904627,0.0014607906341552734,0.00017372016012154863,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",0.6673979815708644,0.5234794275491947,0.6276833631484792,0.5238095238095238,0.46382783882783873,0.5617480663185529,0.07491602135004465,337,0.6440328054298643,0.5552350126653531,0.6212777934140162,0.5539606592238172,0.5730994152046784,0.5895211371875458,0.03657804278495375
