k,Fashion MNIST BIC
2,-285122.86010360485
3,-302298.1857864897
4,-315282.53132353764
5,-317343.9709528094
6,-322401.57037034095
7,-324066.5445687289
8,-324750.0348766865
9,-324885.16246741795
10,-325564.82163981604
15,-328404.6030291576
20,-327490.9881643496
25,-325369.62271497113
30,-323189.04865946854
35,-320112.8519949532
40,-317338.0040870531
