k,Credit Approval sse (left)
2,11.187980474519073
3,10.357398368488234
4,9.618984007945137
5,9.02142373513927
6,8.507299288072396
7,7.854608995342582
8,7.138937753881304
9,6.808842371104748
10,6.325255757618841
15,4.658696952275858
20,3.9814608453856426
25,3.5690533555277435
30,3.255376383768146
35,2.982497257144016
40,2.730029472805485
