k,Fashion MNIST log-likelihood
2,41.81110583841083
3,44.43939429534984
4,46.456752701875324
5,46.881850771990266
6,47.74370682873201
7,48.11101110425748
8,48.33524192636745
9,48.47953649232201
10,48.70320883986062
15,49.740154473669016
20,50.22995779637687
25,50.54370418255845
30,50.848819576593634
35,51.02337773899431
40,51.24186429157214
