,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.2622037887573243,0.33148558639912395,0.01185779571533203,0.008358414969517221,100,adaptive,2,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 2}",0.19560893922786507,0.2,0.20144927536231885,0.19714285714285715,0.19714285714285715,0.19827119863029508,0.002133947410289346,73,0.1937241859634817,0.19925650557620816,0.20033884948778566,0.20042905195707847,0.1989399293286219,0.1985377044626352,0.0024766808018695406
1,2.0554157733917235,0.3044492194850365,0.008510637283325195,0.002209144980321226,100,adaptive,3,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 3}",0.28127046866177297,0.2884923771880294,0.2897124777651416,0.28836438923395447,0.288259269264537,0.28721428068230614,0.0030258034701067553,67,0.2950316060424913,0.27792807268096115,0.2905384996826012,0.2898451054676655,0.2884372836857795,0.2883561135118997,0.00566202668904409
2,1.7470370292663575,0.20182919742115782,0.009372377395629882,0.005580573297991727,100,adaptive,4,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 4}",0.3769408000354291,0.3637077794988173,0.3724460846846165,0.3783649981731823,0.36637349353958115,0.3715718165693797,0.005739290773709346,62,0.3826377609375395,0.3632849832304657,0.36154098112964655,0.3833523429614581,0.362053204697922,0.37057385459140635,0.010160211854598885
3,1.193909502029419,0.2318401897381704,0.010885810852050782,0.010545813623676875,100,adaptive,5,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 5}",0.43097001446016253,0.36357508220679574,0.36912197746659764,0.3769854501976502,0.37124129989438986,0.3824220079990269,0.024716604623002836,60,0.42860309849365624,0.349641387324086,0.3724533831923132,0.3862097510539491,0.36486642518056117,0.3803548090489131,0.02686192331049249
4,1.5703944206237792,0.6109546472054074,0.009116601943969727,0.003831832261027792,100,adaptive,6,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 6}",0.44723320158102764,0.44456350128984395,0.42135034959060613,0.41365009848595763,0.4581128784564292,0.4369628843323702,0.01669834013508815,54,0.464955218819686,0.4661286654613293,0.42447124238601636,0.4236726228022207,0.45561651664578817,0.4469688532230081,0.01904860456962619
5,2.0129342079162598,0.4364666938861182,0.023971986770629884,0.030522025713481202,100,adaptive,7,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 7}",0.5050541698614535,0.41028094241649227,0.47518108099144957,0.4893897296351776,0.47264756708853356,0.4704803514346734,0.03232405193136322,46,0.5046897427852366,0.4245267717140333,0.47599226457091937,0.48890436009839033,0.4684480559936742,0.47251223903245076,0.026964148850237974
6,1.839628314971924,0.5369747737667455,0.012263822555541991,0.010186356783487066,100,adaptive,8,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 8}",0.4398148567449025,0.4937147507224233,0.5180636542269553,0.4515987814783479,0.5249011826564599,0.4855363263900779,0.03438738095637847,45,0.45221745282875464,0.5071657114920336,0.49126960456599944,0.482327915475529,0.5172102290207568,0.49003818267661464,0.022463501829669455
7,1.7797771453857423,0.3596557037235883,0.011770915985107423,0.0064411933356769225,100,adaptive,9,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 9}",0.5279684680196189,0.5248948234863727,0.5236983001582539,0.46321820466818,0.547002544541003,0.5173381167760741,0.028313741991412126,39,0.5381798952538356,0.5280309578723636,0.5201045072708202,0.49932765407880875,0.5321040782123861,0.523549418537643,0.013460152547708415
8,2.0932935237884522,0.39209670471103797,0.018570089340209962,0.020324757954450268,100,adaptive,10,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 10}",0.5294666799526135,0.5298900587903145,0.5365679445225001,0.5616035921681606,0.5619195064837694,0.5438258588702589,0.014798658263947677,35,0.5377969723547521,0.532840937581144,0.5254473891874298,0.5769139076994905,0.5578914313860537,0.5461781276417741,0.018760477498630163
9,3.3217749118804933,0.7293566033971668,0.011443614959716797,0.002374200797766026,100,adaptive,15,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 15}",0.5762449485723142,0.5823792916376037,0.5785357597702523,0.5223425633419144,0.600141489231843,0.5719087571526711,0.026139316243729806,30,0.5928317539643211,0.6031751579518959,0.5805343969736564,0.5384743283722524,0.5895055358074344,0.5809042346139119,0.022417296223936567
10,2.820579433441162,0.428830484388829,0.012474822998046874,0.002767230618768476,100,adaptive,20,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'gmm__n_components': 20}",0.6185392943571684,0.6191018614204017,0.6267786402184439,0.6330649288617758,0.6339764423714874,0.6262638889923453,0.00658581133959762,24,0.6344895794967905,0.6111852651115183,0.6371230116239858,0.6394243761274427,0.6145421933528857,0.6273528851425245,0.011980103788907986
