k,Fashion MNIST sse (left)
2,8.465887411276762
3,7.91725887105439
4,7.38982847072142
5,6.912102659690526
6,6.44342261402564
7,6.023484883022958
8,5.6355453208012705
9,5.233254444591134
10,4.883225192641561
15,3.614857794037526
20,3.1625478431577125
25,2.8282576065496565
30,2.5738996548128097
35,2.3769415113917467
40,2.240204179910912
