k,Credit Approval BIC
2,-19104.090536526506
3,-19988.472497514438
4,-19962.104459099726
5,-19628.559974702333
6,-19517.762181417533
7,-19248.170128561942
8,-18788.82209322079
9,-17890.763983202974
10,-17487.338855278093
15,-15763.249467361818
20,-13535.308282332859
25,-10738.924891407587
30,-8159.297090270615
35,-5382.2213389591525
40,-2669.337999919633
