k,Credit Approval log-likelihood
2,31.53132423114276
3,34.20822162150625
4,35.50936372576301
5,36.346493071737775
6,37.520097781930964
7,38.45383200938882
8,39.10092577991985
9,39.0853155101538
10,39.816884971645955
15,43.91738522730635
20,47.25678004926177
25,49.737500844183494
30,52.545647001323196
35,55.0555334149969
40,57.66238721880949
