k,Fashion MNIST sse (left)
2,1792479.4660392283
3,1543782.8242255508
4,1419541.4249595227
5,1326994.0214777503
6,1239135.5726966835
7,1163508.2106506722
8,1123010.8739226246
9,1083768.9372859658
10,1047532.448975624
15,922574.5995108153
20,845494.2220656155
25,790262.3077862491
30,740650.4139181308
35,704989.25631092
40,677256.0154028558
