k,Fashion MNIST log-likelihood
2,-27.865713368850535
3,-27.28867871443381
4,-27.097838524253245
5,-27.000724199815505
6,-26.903408483531578
7,-26.809970174512888
8,-26.790106928032863
9,-26.760397450505774
10,-26.66305083925685
15,-26.516619084888926
20,-26.37662523082415
25,-26.26017416407147
30,-26.114533442383166
35,-26.07308125746414
40,-25.976601165452422
