k,Credit Approval BIC
2,12874.714235911038
3,12092.879188231944
4,12861.171977824963
5,16768.45980902744
6,16530.256918865314
7,12849.872186124223
8,10028.437022559894
9,11063.479333646545
10,11265.834920267956
15,9371.610356359677
20,10270.684062491266
25,9445.712313228503
30,9047.76547997695
35,8317.808505968114
40,7316.545761392548
