,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11490345001220703,0.03439933673441549,0.0017554759979248047,8.194942878319105e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5252252252252254,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5051060123567677,0.01013552906930783,135,0.5532019704433498,0.5,0.5,0.5,0.5,0.5106403940886699,0.021280788177339936
1,0.27045574188232424,0.10055875487732467,0.0017075538635253906,0.0001361540852139939,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5000000000000001,0.5000000000000001,0.6305555555555555,0.5166666666666666,0.5,0.5293554884189325,0.050914582257981435,64,0.49655172413793114,0.5,0.5438586393461495,0.5371819960861057,0.5098173515981735,0.5174819422336719,0.019422978946385453
2,0.1651782512664795,0.049508965405342595,0.0018618583679199218,8.020273427595025e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5000000000000001,0.5000000000000001,0.5666666666666667,0.5,0.5,0.5132930513595166,0.026636407594137507,98,0.5,0.5,0.5423045930701047,0.5,0.5,0.508460918614021,0.01692183722804188
3,0.18178277015686034,0.05049667985293156,0.0019248008728027343,8.473698176479125e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5000000000000001,0.5729729729729731,0.5000000000000001,0.5527777777777779,0.5445402298850575,0.5340412008007591,0.02939503003499461,57,0.5,0.5468559837728195,0.5,0.5499309312766204,0.5388127853881278,0.5271199400875136,0.022439062686763735
4,0.12761883735656737,0.013181185215528465,0.0019965171813964844,0.00015743260987883775,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5000000000000001,6.984444661664283e-17,167,0.5,0.5,0.5,0.5,0.5,0.5,0.0
5,0.37032790184020997,0.17600090011141598,0.001736021041870117,8.958672572492589e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.48873873873873874,0.49279279279279287,0.5000000000000001,0.5,0.5,0.49626166952450945,0.004712632108950258,273,0.5876847290640393,0.5151840046363373,0.5,0.5,0.5,0.5205737467400754,0.034066906032707164
6,0.30258450508117674,0.09804940347690362,0.002017354965209961,0.0001074673537074588,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.4036036036036037,0.5815315315315316,0.55,0.5694444444444445,0.49952107279693486,0.5207137677316863,0.06524969405592403,83,0.5529701535786729,0.4957693422196465,0.5408944399677681,0.5606653620352251,0.5508561643835617,0.5402310924369749,0.023108537249210494
7,0.2885859489440918,0.13242701952253705,0.002268409729003906,0.00022038238350455228,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5166666666666667,0.5000000000000001,0.6083333333333334,0.5,0.5,0.5249748237663646,0.04210244667522034,75,0.5247754274123444,0.5503042596348885,0.5460458155865087,0.5049787038102913,0.5,0.5252208412888066,0.02053723831950216
8,0.22567200660705566,0.06921917810728835,0.0022153854370117188,0.00017082933269790018,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5000000000000001,6.984444661664283e-17,167,0.5,0.5,0.5,0.5,0.5,0.5,0.0
9,0.24022607803344725,0.09959488576623156,0.002248859405517578,0.00019692598747874464,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.45450450450450464,0.5000000000000001,0.5000000000000001,0.5,0.5,0.49079094199940126,0.018280150642858643,289,0.5541582150101421,0.5,0.5191377921031427,0.5,0.5,0.514659201422657,0.021094579436043516
10,0.3724203109741211,0.09238260264374329,0.0027557849884033204,0.00019495296961353006,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5932432432432434,0.4878378378378379,0.502777777777778,0.538888888888889,0.4372605363984674,0.5123999012034224,0.05207810553660299,103,0.5170675166618371,0.5199072732541292,0.5870841487279845,0.5265626798664671,0.5026255707762558,0.5306494378573348,0.029280635211111135
11,0.4059967041015625,0.16834388557566177,0.0029525279998779295,9.588771992831125e-05,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.6563063063063065,0.7211711711711714,0.5000000000000001,0.5,0.5,0.5764078277673444,0.0949146485027763,26,0.6403651115618662,0.7410895392639815,0.5,0.5,0.5223173515981736,0.5807544004848042,0.09562241231045131
