k,Credit Approval sse (left)
2,69065.76913628746
3,63904.87303642904
4,60008.20500138264
5,56257.5982355518
6,53148.28519205123
7,49689.54121663682
8,47509.07779603199
9,44536.349907552336
10,41355.7365581677
15,30927.0356734823
20,24230.62119228401
25,18905.44448867277
30,14685.75618656648
35,12148.532487795877
40,10355.772109578767
