k,Credit Approval log-likelihood
2,-18.49287512537
3,-16.829806306148196
4,-17.508320322684874
5,-22.928518692105932
6,-22.086646485447524
7,-16.045103821721195
8,-11.301068060074568
9,-12.382526973127305
10,-12.206150954963668
15,-6.93453899554226
20,-5.8824108277218645
25,-2.225984388913021
30,0.7853893066764751
35,4.298288894648572
40,8.221015930606667
