k,Fashion MNIST BIC
2,191883.28179338892
3,188291.13826339736
4,187348.2887580659
5,187048.3986917302
6,186747.12707732967
7,186472.45447676865
8,186702.50680522286
9,186865.01398869423
10,186563.53043483384
15,187390.57959640588
20,188261.7927540575
25,189294.5094326701
30,190126.98507842433
35,191674.1940864158
40,192843.91165175143
