,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.8523361206054687,0.18581627669102435,0.006618595123291016,0.0032369876600830128,100,adaptive,2,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 2}",0.2620496340828822,0.2684526854219949,0.26874314943368655,0.25885032273779074,0.283243094971728,0.2682391887626719,0.008365988343515145,73,0.27233950473397583,0.2677337777004186,0.2743875783154017,0.2836238605916513,0.2707547932072398,0.27376790290973746,0.005386162231229271
1,1.3644386768341064,0.1767797883151592,0.004226207733154297,0.00033983247906505486,100,adaptive,3,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 3}",0.395208286844215,0.3783729143831445,0.36584975858079644,0.39612506031714334,0.3856549047013604,0.3842353449868297,0.011288310089702975,69,0.39506757785581204,0.3830467985731316,0.41475641397373747,0.39426972612585076,0.39472248470074994,0.3963726002458564,0.010240992546794786
2,1.5592936038970948,0.27908406420522075,0.010654211044311523,0.00812472192479782,100,adaptive,4,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 4}",0.43392884003236654,0.4453726528745441,0.43141260763641187,0.46027596902086343,0.4507124910564235,0.4443127471593982,0.010687685000875483,65,0.4411010362695895,0.45508865370739604,0.4560226538743645,0.45358381355955824,0.4450455491687996,0.4501683413159416,0.005976736908958693
3,1.538895034790039,0.2089186439328604,0.012911701202392578,0.011073888148111579,100,adaptive,5,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 5}",0.507611121273093,0.4461560886671654,0.45136179467362414,0.4975887782357989,0.47955446762142195,0.47643630077659094,0.024425727987352586,57,0.49292351163847287,0.48313943954638433,0.46030168911772507,0.482864969936155,0.48646584139215593,0.48113909032617863,0.01103108525157445
4,1.7636051654815674,0.22740767192464129,0.014233684539794922,0.009933017139923455,100,adaptive,6,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 6}",0.5274022551179355,0.5362672890789674,0.5185071639599064,0.5037314565420837,0.5015722146693251,0.5175533210783062,0.013371674680275078,43,0.5135098955188134,0.5312596303190442,0.507649806533958,0.5181289733203568,0.5343444870546847,0.5209785585493714,0.01025578056777874
5,1.6589779376983642,0.16879285514113923,0.01590762138366699,0.012203117270817054,100,adaptive,7,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 7}",0.5072205222343905,0.5052610485824347,0.526926826679841,0.5265700068276699,0.4809073579014794,0.5094215715078143,0.016903971927559245,48,0.5051482444585573,0.5285653924937797,0.5246570447157441,0.5392013609215975,0.5278884937410162,0.525092107266139,0.01110766824688142
6,1.4082960128784179,0.2038901156761219,0.004759359359741211,0.0009629451908827991,100,adaptive,8,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 8}",0.5120209819718122,0.5041790072372544,0.4797727157926395,0.5230147504516707,0.4865798924771326,0.50113850707243,0.015958480898046655,53,0.5120456964419166,0.5429283306086999,0.5025759203262105,0.5201304754158942,0.4989709589681733,0.5153302763521789,0.015657482798278
7,1.9186210632324219,0.15886408980238861,0.007264852523803711,0.002134048212609056,100,adaptive,9,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 9}",0.5254769218270173,0.5000899171671118,0.5427992511663903,0.5240568915630945,0.5221026468791481,0.5228942881098558,0.013621811420614773,39,0.5325247727070239,0.5305021820130195,0.5478974936125002,0.520278323564504,0.5398037115468884,0.5342012966887871,0.00926624222736292
8,1.8063321113586426,0.32249937601319717,0.005825710296630859,0.0021517648027973685,100,adaptive,10,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 10}",0.5528949423113898,0.5255054725781645,0.5403675402381495,0.533202249201982,0.5137129520604727,0.5331833044043706,0.013243281487109859,23,0.5460641730855655,0.5347808972481883,0.534485594868343,0.5277162782262238,0.5250892234147903,0.5336272333686222,0.0072743686874020995
9,3.1820393562316895,0.674977615031504,0.008167457580566407,0.006854471029571497,100,adaptive,15,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 15}",0.5520576251432489,0.5232675795920996,0.5201483880873468,0.5526921804512751,0.5186281410183002,0.5333825913061894,0.015598390233750939,21,0.5480567555696272,0.5641195283189433,0.5367214368750775,0.5749157510580779,0.5398610613956192,0.552734906643469,0.014598984023535535
10,2.635594034194946,0.2929216109468072,0.00414118766784668,0.0005061295602294325,100,adaptive,20,"{'NN__hidden_layer_sizes': 100, 'NN__learning_rate': 'adaptive', 'km__n_clusters': 20}",0.5423754633512927,0.5474280106742914,0.5070534403632672,0.5376646537414945,0.5157628330621422,0.5300989275301377,0.01578438637946232,31,0.5462435560122453,0.5553072188342925,0.5126208570306797,0.5593337967449301,0.5314173570064191,0.5409845571257133,0.017120286817188607
